010;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;Ελ. Βενιζέλου 21, 102 50 Αθήνα;21, Ave El Venizelou, 102 50 Athens;210-3201111;210-3232239;215752 BNGR;www.bankofgreece.gr;www.bankofgreece.gr;BNGRGRAA;;
011;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;Αιόλου 86, 10232 Αθήνα;86, Eolou Str., 10232 Athens;210-3341000;210-3346510;2100-214931,33;www.nbg.gr;www.nbg.gr;ETHNGRAA;;
014;ALPHA BANK S.A.;ALPHA BANK S.A.;Σταδίου 40, 102 52 Αθήναι;40, Stadiou Str., GR-102 52 Athens;210-3260000;210-3265438;218691 ACB GR;www.alpha.gr;www.alpha.gr;CRBAGRAA;;
016;ATTICA BANK ΑΝΩΝΥΜΗ ΤΡΑΠΕΖΙΚΗ ΕΤΑΙΡΕΙΑ;ATTICA BANK S.A.;Ομήρου 23, 10672 Αθήνα;23 Omirou Str., GR-106 72 Athens;210-3669000;210-3667245;;www.atticabank.gr;www.atticabank.gr;ATTIGRAA;;
017;ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ Α.Ε.;PIRAEUS BANK S.A.;Αμερικής 4, 105 64 Αθήνα;4, Amerikis Str., GR-105 64 Athens;210-3335000;210-3335080;215501 PIRB GR 215502 PIRB GR 222777 PBFX GR;www.piraeusbank.gr;www.piraeusbank.gr;PIRBGRAA;;
026;ΤΡΑΠΕΖΑ EUROBANK ERGASIAS Α.Ε.;EUROBANK ERGASIAS S.A.;Όθωνος 8, 105 57 Αθήνα;8, Othonos Str. GR-105 57 ATHENS;210-3337000;210-3233866;210923 euro gr;www.eurobank.gr;www.eurobank.gr;ERBKGRAA;;
034;ΕΠΕΝΔΥΤΙΚΗ ΤΡΑΠΕΖΑ ΕΛΛΑΔΟΣ ΑΕ;INVESTMENT BANK OF GREECE SA;Αιγιαλείας 32, 151 25 Μαρούσι Ελλάδα;Aigialias 32 st. GR-151 25 Marousi Greece;210-8173000;210-8173101;;www.ibg.gr;www.ibg.gr;IBOGGRAA;;
039;ΜΠΕ ΕΝ ΠΕ ΠΑΡΙΜΠΑ ΣΕΚΙΟΥΡΙΤΙΣ ΣΕΡΒΙΣΙΣ;BNP PARIBAS SECURITIES SERVICES;Βασ.Σοφίας 94 & Κερασούντος 1, Αθήνα 115 28;94 V.Sofias Ave.& 1 Kerasountos Str. , GR-115 28 Athens;210-7468500;210-7468579;210761 / 210762;http://securities.bnpparibas.com;http://securities.bnpparibas.com;PARBGRAX;;
040;FCA BANK G.M.B.H.;FCA BANK GmbH;Λ. Βουλιαγμένης 580Α  Αργυρούπολη 164 52;580A Vouliagmenis Av., GR-164 52 Argyroupoli ;210-9988777;210-9961118;;www.fcabank.gr;www.fcabank.gr;FIATGRA1;;
050;ΤΡΑΠΕΖΑ ΣΑΝΤΕΡΑΤ ΙΡΑΝ;BANK SADERAT IRAN;Ελευθερίου Βενιζέλου 25-29, Αθήνα 105 64;25-29 Eleftheriou Venizelou Str., GR-105 64 Athens ;210-3249531;210-3251154;218385 SABK GR;www.saderat.gr;www.saderat.gr;BSIRGRAA;;
056;AEGEAN BALTIC BANK Α.Τ.Ε.;AEGEAN BALTIC BANK S.A.;Μεγάλου Αλεξάνδρου 91 & 25ης Μαρτίου, 151 24 Μαρούσι;91, Megalou Alexandrou & 25th Martiou str., GR-151 24 Maroussi;210-6234110;210-6234192;;www.aegeanbalticbank.com;www.aegeanbalticbank.com;AEBAGRAA;;
057;CREDICOM CONSUMER FINANCE ΤΡΑΠΕΖΑ Α.Ε.;CREDICOM CONSUMER FINANCE BANK S.A.;Λ. Συγγρού 187, 171 21 Ν. Σμύρνη, Αθήνα;187 Syngrou Ave, GR-171 21 Nea Smyrni;210-9396400;210-9396909;;www.credicom.gr;www.credicom.gr;EMCRGRA1;;
058;UNION DE CREDITOS INMOBILIARIOS S.A. ESTABLECIMIENTO FINANCIERO DE CREDITO;UNION DE CREDITOS INMOBILIARIOS S.A. ESTABLECIMIENTO FINANCIERO DE CREDITO;Αγγέλου Πύρρη 5 & Ευήνου, 11527, Αθήνα;5, Angelou Pirri Str., 2nd floor, GR-115 27 Athens;210-7491806;210-7759154;;www.uci.gr;www.uci.gr;UCISGRA1;;
059;OPEL BANK GmbH;OPEL BANK GmbH;Κονίτσης 3-5, 151 25 Μαρούσι;3-5, Konitsis str., GR-151 25 Maroussi;210-8098300;210-6147793;;www.opel.gr;www.opel.gr;OPELGRA1;;
061;FCE BANK PLC;FCE BANK PLC;Ακακιών 39 & Μονεμβασιάς 25, 151, 25 Μαρούσι;Akakion 39 & Monemvasias 25, GR-151 25 Marousi;210-5709900, 210-5709888;210-5709866;;www.ford.gr;www.ford.gr;FOGRGRA1;;
064;THE ROYAL BANK OF SCOTLAND PLC;THE ROYAL BANK OF SCOTLAND PLC;Ακτή Μιαούλη 45, 185 10 Πειραιάς;45, Akti Miaouli, GR-185 10 Piraeus;210-4596500;210-4596600;;www.rbs.co.uk;www.rbs.co.uk;RBOSGRAA;;
069;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΧΑΝΙΩΝ Συν. Π.Ε.;COOPERATIVE BANK OF CHANIA COOP. L.L.;Ελ. Βενιζέλου 28-32, Χανιά 731 32;28-32, El. Venizelou Str. GR-731 32 Chania;28210-25500;28210-25591;;www.chaniabank.gr;www.chaniabank.gr;STXAGRA1;;
071;HSBC BANK PLC;HSBC BANK PLC;Λεωφ. Μεσογείων 109-111, 115 26 Αθήνα;109-111 Messoghion Ave, GR-115 26 Athens;210-6960000;210-6928000;222318 MIDA GR;www.hsbc.gr;www.hsbc.gr;MIDLGRAA;;
072;UNICREDIT BANK AG;UNICREDIT BANK AG;Ηρακλείτου 7, Κολωνάκι, 10673 Αθήνα;7, Heraklitou st. Kolonaki, GR-10673 Athens;210-3671500, 210-3640940;210-3640063;HYVEGRAA;www.unicreditgroup.gr;www.unicreditgroup.gr;HYVEGRAA;;
073;ΤΡΑΠΕΖΑ ΚΥΠΡΟΥ ΔΗΜΟΣΙΑ ΕΤΑΙΡΕΙΑ ΛΤΔ (*);BANK OF CYPRUS PUBLIC COMPANY LTD (*);Λ. Αλεξάνδρας 192, 115 21 Αθήνα;192, Alexandras Avenue, GR-115 21 Athens;210-6412580;210-6436464;;;;;;
075;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΗΠΕΙΡΟΥ Συν. Π.Ε.;COOPERATIVE BANK OF EPIRUS L.T.D;Πατριάρχου Ιωακείμ 6 & Καραπάνου, Ιωάννινα 452 21;Patriarxou Ioakim 6 and Karapanou str, GR-452 21 Ioannina;26510-59000;26510-28065;;www.epirusbank.gr;www.epirusbank.gr;STIOGR21;;
081;ΜΠΑΝΚ ΟΦ ΑΜΕΡΙΚΑ ΝΑ;BANK OF AMERICA NA;Βασ. Σοφίας 68, 115 28 Αθήνα ;68, Vassilissis Sofias Ave., GR-115 28 Athens;210-7415000;210-7243102;;www.bankamerica.com;www.bankamerica.com;BOFAGR2X;;
084;CITIBANK EUROPE PLC;CITIBANK INTERNATIONAL LTD;Οθωνος 8, 105 57 Αθήνα ;8 Othonos str, GR-105 57 Athens;210-3292000;210-3243277;;http://citigroup.com/citi/about/countrypresence/greece.html;http://citigroup.com/citi/about/countrypresence/greece.html;CITIGRAA;;
087;ΠΑΓΚΡΗΤΙΑ ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ Συν. Π.Ε.;PANCRETAN COOPERATIVE BANK LTD.;Λεωφ. Ικάρου 5 & Εφέσσου, Ηράκλειο 713 06;5, Ikarou Ave & Efessou, GR-713 06 Heraklion;2810-338800;2810-341318;;www.pancretabank.gr;www.pancretabank.gr;STPGGRA1;;
088;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ Ν. ΕΒΡΟΥ Συν. Π.Ε.;COOPERATIVE BANK OF EVROS;Λ. Δημοκρατίας 137, Αλεξ/πολη 681 32;137, Dimocratias Av., GR-681 32 Alexandroupolis;25510-24207;25510-24047;-;www.evrosbank.gr;www.evrosbank.gr;STEOGR21;;
089;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΚΑΡΔΙΤΣΑΣ Συν. Π.Ε.;COOPERATIVE BANK OF KARDITSA;Εμπορικό Κέντρο Ταλιαδούρου & Κολοκοτρώνη, Καρδίτσα 431 00;Shopping Center Taliadourou & Kolokotroni, GR-431 00 Karditsa;24410-40099;24410-80883;;www.bankofkarditsa.gr;www.bankofkarditsa.gr;STKAGRA1;;
091;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΘΕΣΣΑΛΙΑΣ Συν. Π.Ε.;COOPERATIVE BANK OF THESSALΥ;ΚΟΝΔΥΛΗ 61-63, ΤΡΙΚΑΛΑ 421 00;KONDYLI 61-63, TRIKALA 421 00;2431095400;24310 76101;;www.bankofthessaly.gr;;STTKGR21;;
092;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΠΕΛΟΠΟΝΝΗΣΟΥ Συν. Π.Ε. (**);COOPERATIVE BANK OF PELOPONNESE COOP. LTD (**);Λεωφόρος Αθηνών 33, Κόρινθος 201 00;33, Athinon Avenue, GR-201 00 Corinth;27410-85390;27410-77112;;www.cbp.gr;www.cbp.gr;STKPGRA1;;
